epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8725,2.99284,4.94665,2.02579,0.00433,0.8125,0.09937,0.01433,2.25404,5.25591,1.53295,0.00014,0.00014,0.00014
2,27.4341,2.22109,3.48629,1.40082,0.005,0.9375,0.63813,0.18412,1.59687,4.37177,1.17713,0.00028515,0.00028515,0.00028515
3,40.3909,1.83553,3.04633,1.18237,0.00533,1,0.70992,0.37911,1.36103,3.88377,1.0853,0.00041446,0.00041446,0.00041446
4,53.3753,1.50067,3.00401,1.21018,0.00533,1,0.26128,0.12924,1.05293,3.82389,0.98451,0.00052793,0.00052793,0.00052793
5,66.502,1.21602,2.13775,1.10863,0.00533,1,0.11236,0.03567,0.90241,3.78218,0.93102,0.00062556,0.00062556,0.00062556
6,79.9268,1.33781,2.05166,1.1003,0.00533,1,0.079,0.04065,0.99803,3.59154,0.94888,0.00070735,0.00070735,0.00070735
7,92.891,1.18867,1.89864,1.03668,0.00533,1,0.53526,0.40662,0.92199,3.44345,0.90972,0.0007733,0.0007733,0.0007733
8,105.564,1.33771,1.6033,1.14393,0.005,0.9375,0.74083,0.46697,1.10825,3.29915,1.00242,0.00082341,0.00082341,0.00082341
9,116.582,1.45189,2.51645,1.37217,0.00467,0.875,0.0846,0.07374,0.88942,3.46122,0.93569,0.00085768,0.00085768,0.00085768
10,128.615,1.2107,2.3294,1.23058,0.00467,0.875,0.0846,0.07374,0.88942,3.46122,0.93569,0.00087611,0.00087611,0.00087611
11,141.806,1.05575,2.40767,1.11876,0.91183,0.64759,0.81796,0.61922,0.79521,2.78739,0.95561,0.0008787,0.0008787,0.0008787
12,154.492,1.033,1.93205,1.08069,0.91183,0.64759,0.81796,0.61922,0.79521,2.78739,0.95561,0.00086545,0.00086545,0.00086545
13,165.802,1.10815,1.98947,1.13871,0.85397,0.875,0.79861,0.53831,1.05405,2.24937,1.04825,0.000812,0.000812,0.000812
14,177.24,1.04674,1.98737,1.05209,0.85397,0.875,0.79861,0.53831,1.05405,2.24937,1.04825,0.000713,0.000713,0.000713
15,188.571,0.96712,1.86635,1.01966,0.91677,0.875,0.85251,0.65948,0.84509,2.11685,0.99651,0.000614,0.000614,0.000614
16,201.454,0.81968,1.78566,1.00106,0.91677,0.875,0.85251,0.65948,0.84509,2.11685,0.99651,0.000515,0.000515,0.000515
17,215.243,0.8508,1.77782,1.00835,0.91198,0.875,0.90432,0.76166,0.7675,1.90421,0.94668,0.000416,0.000416,0.000416
18,227.89,0.85181,1.87325,1.00392,0.91198,0.875,0.90432,0.76166,0.7675,1.90421,0.94668,0.000317,0.000317,0.000317
19,240.449,0.70588,1.71702,0.94597,0.92886,0.875,0.92613,0.7976,0.67791,1.68239,0.91799,0.000218,0.000218,0.000218
20,252.916,0.72757,1.67801,0.93921,0.92886,0.875,0.92613,0.7976,0.67791,1.68239,0.91799,0.000119,0.000119,0.000119
